Courses List for Exchange-in students_Sem 1 of 2025-2026,,,,,,,,,,,,
"Sorted by Offering Unit, Offering Programme & Course Code",,,,,,,,,,as of 20250520,,
"Offering
Unit","Offering
Programme",Course Code,Course Name,"Units
(Credits)",Teachers,Schedule,Hours,"Course
Category",Medium of Instruction (MOI),Remark,,
FBM,AE,ECON2003,Principles of Macroeconomics (1005),3,Dr. An-Hsiang LIU,Wed 8:00-9:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1005),3,Dr. An-Hsiang LIU,Mon 16:00-16:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1006),3,Dr. Emily Jianjing TANG,Mon 15:00-16:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1006),3,Dr. Emily Jianjing TANG,Tue 15:00-15:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1007),3,Dr. William Wai Yip CHOW,Mon 8:00-9:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1007),3,Dr. William Wai Yip CHOW,Thu 15:00-15:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1008),3,Dr. Gangzhi FAN,Fri 13:00-14:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1008),3,Dr. Gangzhi FAN,Thu 16:00-16:50,1,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1009),3,Dr. Zhi YU,Thu 9:00-10:50,2,MR,English,,,
FBM,AE,ECON2003,Principles of Macroeconomics (1009),3,Dr. Zhi YU,Mon 15:00-15:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1009),3,Mr. Xiaoyan ZHOU,Tue 8:00-9:50,2,FE,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1009),3,Mr. Xiaoyan ZHOU,Thu 13:00-13:50,1,FE,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1001),3,Dr. Zemin LU,Fri 16:00-17:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1001),3,Dr. Zemin LU,Mon 17:00-17:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1002),3,Dr. Zemin LU,Wed 9:00-10:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1002),3,Dr. Zemin LU,Fri 13:00-13:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1003),3,Dr. Zoey Yi XIAO,Fri 16:00-17:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1003),3,Dr. Zoey Yi XIAO,Thu 15:00-15:50,1,MR,English,,,
